Date,Open,High,Low,Close,Adj Close,Volume
2025-04-10,82565.974453,82700.932064,78456.133748,79626.141436,79626.141436,44718000633.05
2025-04-11,79625.048141,84247.473649,78936.320569,83404.839806,83404.839806,41656778779.2
2025-04-12,83404.516993,85856.187870,82769.377893,85287.113277,85287.113277,24258059103.94
2025-04-13,85279.470534,86015.185849,83027.004263,83684.979028,83684.979028,28796984817.37
2025-04-14,83694.523273,85784.997727,83690.636947,84542.391283,84542.391283,34090769777.17
2025-04-15,84539.692785,86429.348479,83598.818422,83668.989330,83668.989330,28040322884.75
2025-04-16,83674.511079,85428.282410,83100.617930,84033.865416,84033.865416,29617804112.22
2025-04-17,84030.672927,85449.067656,83749.753020,84895.751439,84895.751439,21276866029.01
2025-04-18,84900.191357,85095.049443,84298.883205,84450.807077,84450.807077,12728372364.23
2025-04-19,84450.870333,85597.703739,84353.457815,85063.413057,85063.413057,15259300427.02
2025-04-20,85066.068870,85306.381257,83976.845849,85174.301629,85174.301629,14664050811.93
2025-04-21,85171.542751,88460.096171,85143.837709,87518.905035,87518.905035,41396190189.88
2025-04-22,87521.871173,93817.383791,87084.529414,93441.893348,93441.893348,55899038455.73
2025-04-23,93427.585809,94535.732072,91962.958182,93699.113176,93699.113176,41719568820.85
2025-04-24,93692.395952,94016.194428,91696.714114,93943.793416,93943.793416,31483175315.4
2025-04-25,93954.249820,95768.392467,92898.593091,94720.498018,94720.498018,40915232363.91
2025-04-26,94714.646371,95251.359438,93927.250628,94646.928112,94646.928112,17612825123.36
2025-04-27,94660.909208,95301.206377,93665.397357,93754.846738,93754.846738,18090367763.89
2025-04-28,93755.303605,95598.492237,92860.808221,94978.752504,94978.752504,32363449569.16
2025-04-29,94981.861384,95485.412820,93796.634223,94284.791628,94284.791628,25806129920.72
2025-04-30,94286.468657,95249.319407,92979.639628,94207.311298,94207.311298,28344679831.08
2025-05-01,94212.862877,97437.963879,94153.633882,96492.339049,96492.339049,32875889623.44
2025-05-02,96494.969190,97905.900814,96375.946113,96910.068578,96910.068578,26421924676.66
2025-05-03,96904.634735,96943.881815,95821.290918,95891.798034,95891.798034,15775154888.97
2025-05-04,95877.184180,96318.919821,94173.432240,94315.974889,94315.974889,18198688416.06
2025-05-05,94319.562868,95193.186201,93566.263841,94748.051475,94748.051475,25816260327.41
2025-05-06,94748.386288,96889.176234,93399.858908,96802.477564,96802.477564,26551275826.73
2025-05-07,96800.194497,97625.805345,95829.332067,97032.318967,97032.318967,76983822461.78
2025-05-08,97034.246889,103969.536490,96913.872397,103241.460830,103241.460830,69895404396.74
2025-05-09,103239.125164,104297.490908,102343.090330,102970.849744,102970.849744,58198593958.12
2025-05-10,102973.714228,104961.764391,102830.481623,104696.327291,104696.327291,42276713994.21
2025-05-11,104701.072596,104937.989245,103364.739754,104106.355526,104106.355526,46285517406.46
2025-05-12,104106.962707,105747.452068,100814.402573,102812.953252,102812.953252,63250475404.07
2025-05-13,102812.492464,104997.420586,101515.092861,104169.812882,104169.812882,52608876410.39
2025-05-14,104167.325600,104303.565168,102618.297355,103539.417089,103539.417089,45956071154.97
